expression,reading,meaning,tags
語源,ごげん,"word root, word derivation, etymology",n1
心地,ここち,"feeling, sensation, mood",n1
心得,こころえ,"knowledge, information",n1
心掛け,こころがけ,"readiness, intention, aim",n1
心掛ける,こころがける,"to bear in mind, to aim to do",n1
志,こころざし,"will, intention, motive",n1
志す,こころざす,"to plan, to intend, to aspire to",n1
心強い,こころづよい,"heartening, reassuring",n1
心細い,こころぼそい,"helpless, hopeless, discouraging",n1
試み,こころみ,"trial, experiment",n1
試みる,こころみる,"to try, to test",n1
快い,こころよい,"pleasant, agreeable",n1
誤差,ごさ,error,n1
孤児,こじ,orphan,n1
梢,こずえ,treetop,n1
個性,こせい,"individuality, personality, idiosyncrasy",n1
戸籍,こせき,"census, family register",n1
古代,こだい,ancient times,n1
誇張,こちょう,exaggeration,n1
滑稽,こっけい,"funny, humorous, comical",n1
国交,こっこう,diplomatic relations,n1
骨董品,こっとうひん,curio,n1
固定,こてい,"fixation, fixing eg, salary, capital",n1
事柄,ことがら,"matter, thing, affair, circumstance",n1
孤独,こどく,"isolation, loneliness, solitude",n1
言付け,ことづけ,to leave a message,n1
殊に,ことに,"especially, above all",n1
粉々,こなごな,in very small pieces,n1
好ましい,このましい,"nice, likable, desirable",n1
碁盤,ごばん,Go board,n1
個別,こべつ,particular case,n1
細やか,こまやか,"meager, modest",n1
込める,こめる,"to include, to put into",n1
籠もる,こもる,"to seclude oneself, to be confined in",n1
固有,こゆう,"characteristic, tradition, peculiar",n1
暦,こよみ,"calendar, almanac",n1
凝らす,こらす,"to concentrate, to devote, to peer into",n1
孤立,こりつ,"isolation, helplessness",n1
懲りる,こりる,"to learn by experience, to be disgusted with",n1
凝る,こる,"to stiffen, to harden",n1
根気,こんき,"patience perseverance, energy",n1
根拠,こんきょ,"basis, foundation",n1
混血,こんけつ,"mixed race, mixed parentage",n1
昆虫,こんちゅう,"insect, bug",n1
根底,こんてい,"root, basis, foundation",n1
混同,こんどう,"confusion, mixing, merger",n1
根本,こんぽん,"foundation, root, base",n1
財,ざい,"fortune, riches",n1
再会,さいかい,"meeting again, reunion",n1
災害,さいがい,"calamity, disaster, misfortune",n1
細菌,さいきん,"bacillus, bacterium, germ",n1
細工,さいく,"work, craftsmanship, trick",n1
採掘,さいくつ,mining,n1
採決,さいけつ,"vote, roll call",n1
再建,さいけん,temple or shrine rebuilding,n1
再現,さいげん,"reproduction, return, revival",n1
財源,ざいげん,"source of funds, resources, finances",n1
在庫,ざいこ,"stockpile, stock",n1
採算,さいさん,profit,n1
再生,さいせい,"playback, regeneration, resuscitation",n1
財政,ざいせい,"economy, financial affairs",n1
最善,さいぜん,the very best,n1
採択,さいたく,"adoption, selection, choice",n1
栽培,さいばい,cultivation,n1
再発,さいはつ,"return, relapse, reoccurrence",n1
細胞,さいぼう,cell,n1
採用,さいよう,"use, adopt",n1
遮る,さえぎる,"to interrupt, to intercept, to obstruct",n1
冴える,さえる,"to be clear, to be bright, to be skillful",n1
竿,さお,"rod, pole eg, for drying laundry",n1
栄える,さかえる,"to flourish, to prosper, to thrive",n1
差額,さがく,"balance, difference, margin",n1
杯,さかずき,wine cup,n1
逆立ち,さかだち,"handstand, headstand",n1
詐欺,さぎ,"fraud, swindle",n1
削減,さくげん,"cut, reduction",n1
錯誤,さくご,mistake,n1
作戦,さくせん,"military operations, tactics, strategy",n1
叫び,さけび,"shout, scream, outcry",n1
捧げる,ささげる,"to lift up, to give, to offer",n1
差し掛かる,さしかかる,"to come near to, to approach",n1
指図,さしず,"instruction, mandate",n1
差し出す,さしだす,"to present, to submit, to hold out",n1
差し支える,さしつかえる,"to interfere, to hinder",n1
授ける,さずける,"to grant, to award, to teach",n1
摩する,さする,"to rub, to stroke",n1
定まる,さだまる,"to become settled, to be fixed",n1
定める,さだめる,"to decide, to determine",n1
座談会,ざだんかい,"symposium, roundtable discussion",n1
雑,ざつ,"rough, crude",n1
雑貨,ざっか,"miscellaneous goods, general goods",n1
殺人,さつじん,murder,n1
察する,さっする,"to guess, to sense, to judge",n1
雑談,ざつだん,"chatting, idle talk",n1
悟る,さとる,"to attain enlightenment, to understand",n1
最中,さなか,"in the middle of, midst",n1
座標,ざひょう,coordinates,n1
様,さま,state way a person does something Mr or Mrs,n1
寒気,さむけ,"chill, shiver, cold",n1
侍,さむらい,samurai,n1
作用,さよう,"operation, effect, function",n1
障る,さわる,"to hinder, to interfere with, to affect",n1
酸,さん,acid,n1
山岳,さんがく,mountains,n1
参議院,さんぎいん,House of Councilors,n1
産休,さんきゅう,maternity leave,n1
残金,ざんきん,remaining money,n1
産後,さんご,"postpartum, after childbirth",n1
残酷,ざんこく,"cruelty, harshness",n1
産出,さんしゅつ,"yield, produce",n1
参照,さんしょう,"reference, consultation, consultation",n1
参上,さんじょう,"calling on, visiting",n1
残高,ざんだか,"bank balance, remainder",n1
桟橋,さんばし,"wharf, jetty, pier",n1
賛美,さんび,"praise, adoration, glorification",n1
山腹,さんぷく,"hillside, mountainside",n1
産婦人科,さんふじんか,maternity and gynecology department,n1
産物,さんぶつ,"product, result, fruit",n1
山脈,さんみゃく,mountain range,n1
仕上がり,しあがり,"finish, end, completion",n1
仕上,しあげ,"end, finishing touches",n1
仕上げる,しあげる,"to finish up, to complete",n1
飼育,しいく,"breeding, raising, rearing",n1
強いて,しいて,"to dare, to insist",n1
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",n1
強いる,しいる,"to force, to compel, to coerce",n1
潮,しお,tide,n1
歯科,しか,dentistry,n1
自我,じが,"self, ego",n1
自覚,じかく,selfconscious,n1
仕掛,しかけ,"device, trick, mechanism",n1
仕掛ける,しかける,"to lay, to set, to wage",n1
色彩,しきさい,color,n1
式場,しきじょう,"ceremonial hall, place of ceremony eg, marriage",n1
事業,じぎょう,"project, enterprise, business",n1
軽蔑,けいべつ,"scorn, disdain",n1
経歴,けいれき,"personal history, career",n1
経路,けいろ,"course, route, channel",n1
劇団,げきだん,"troupe, theatrical company",n1
激励,げきれい,encouragement,n1
獣,けだもの,"beast, brute",n1
決,けつ,"decision, vote",n1
決意,けつい,"decision, determination",n1
結核,けっかく,tuberculosis,n1
決議,けつぎ,"resolution, vote, decision",n1
結合,けつごう,"combination, union",n1
決算,けっさん,"balance sheet, settlement of accounts",n1
月謝,げっしゃ,monthly tuition fee,n1
決勝,けっしょう,finals in sports,n1
結晶,けっしょう,"crystal, crystallization",n1
結成,けっせい,formation,n1
結束,けっそく,"union, unity",n1
決断,けつだん,"decision, determination",n1
月賦,げっぷ,monthly installment,n1
欠乏,けつぼう,shortage,n1
蹴飛ばす,けとばす,"to kick away, to kick someone",n1
煙たい,けむたい,"smoky, feeling awkward",n1
煙る,けむる,"to smoke eg, fire",n1
家来,けらい,"retainer, retinue, servant",n1
下痢,げり,diarrhea,n1
権威,けんい,"authority, power, influence",n1
兼業,けんぎょう,holding two jobs at the same time,n1
原形,げんけい,"original form, base form",n1
原型,げんけい,"prototype, model, archetypal",n1
権限,けんげん,"power, authority, jurisdiction",n1
現行,げんこう,"present, current, in operation",n1
健在,けんざい,"in good health, well",n1
原作,げんさく,original work,n1
検事,けんじ,public prosecutor,n1
原子,げんし,atom,n1
元首,げんしゅ,"ruler, sovereign",n1
原書,げんしょ,original document,n1
懸賞,けんしょう,"offering prizes, winning, reward",n1
健全,けんぜん,"health, soundness, wholesome",n1
元素,げんそ,element,n1
同調,どうちょう,"sympathy, agree with, alignment",n1
到底,とうてい,cannot possibly,n1
動的,どうてき,"dynamic, kinetic",n1
尊い,とうとい,"precious, valuable, noble",n1
貴い,とうとい,"precious, valuable, noble",n1
同等,どうとう,"equality, equal, same rank",n1
堂々,どうどう,"magnificent, grand, impressive",n1
尊ぶ,とうとぶ,"to value, to prize, to esteem",n1
投入,とうにゅう,"throw, investment, making an electrical circuit",n1
導入,どうにゅう,"introduction, bringing in, leading in",n1
当人,とうにん,"the one concerned, the said person",n1
同封,どうふう,"enclosure eg, in a letter",n1
逃亡,とうぼう,escape,n1
冬眠,とうみん,"hibernation, winter sleep",n1
同盟,どうめい,"alliance, union, league",n1
動力,どうりょく,"power, motive power, dynamic force",n1
登録,とうろく,"registration, register, record",n1
討論,とうろん,discussion debate,n1
遠ざかる,とおざかる,to go far off,n1
遠回り,とおまわり,"detour, roundabout way",n1
時折,ときおり,sometimes,n1
研ぐ,とぐ,"to sharpen, to grind, to polish",n1
特技,とくぎ,special talent skill,n1
独裁,どくさい,"dictatorship, despotism",n1
特産,とくさん,"specialty, special product",n1
独自,どくじ,"original, peculiar, characteristic",n1
特集,とくしゅう,"feature eg, newspaper, special edition, report",n1
独占,どくせん,monopoly,n1
独創,どくそう,originality,n1
得点,とくてん,"score, points made",n1
特派,とくは,"send specially, special envoy",n1
特有,とくゆう,"characteristic of, peculiar to",n1
遂げる,とげる,"to accomplish, to achieve, to carry out",n1
年頃,としごろ,"age, marriageable age, adolescence",n1
戸締り,とじまり,"closing up, locking the doors",n1
途上,とじょう,"en/in route, half way",n1
土台,どだい,"foundation, base, basis",n1
途絶える,とだえる,"to stop, to cease, to come to an end",n1
特許,とっきょ,"special permission, patent",n1
特権,とっけん,"privilege, special right",n1
突如,とつじょ,"suddenly, all of a sudden",n1
突破,とっぱ,"breaking through, breakthrough, penetration",n1
土手,どて,"embankment, bank",n1
届,とどけ,"report, notification, registration",n1
滞る,とどこおる,"to stagnate, to be delayed",n1
整える,ととのえる,"to put in order, to arrange, to adjust to get ready, to prepare to raise money",n1
止める,とどめる,"to end, to stop, to cease, to resign",n1
唱える,となえる,"to recite, to chant, to call upon",n1
殿様,とのさま,feudal lord,n1
土俵,どひょう,arena,n1
扉,とびら,"door, opening",n1
溝,どぶ,"ditch, drain, gap",n1
徒歩,とほ,"walking, going on foot",n1
土木,どぼく,public works,n1
乏しい,とぼしい,"meager, scarce, hard up, poor",n1
富,とみ,"wealth, fortune",n1
富む,とむ,"to be rich, to become rich",n1
共稼ぎ,ともかせぎ,"working together, husband and wife earning a living together",n1
伴う,ともなう,"to accompany, to bring with",n1
共働き,ともばたらき,dual income husband and wife both working,n1
取扱,とりあつかい,"treatment, handling, management",n1
取り扱う,とりあつかう,"to treat, to handle, to deal in",n1
鳥居,とりい,Shinto shrine archway,n1
取り替え,とりかえ,"swap, exchange",n1
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",n1
取締り,とりしまり,"control, crackdown, supervision",n1
取り締まる,とりしまる,"to crack down, to control, to supervise",n1
取り調べる,とりしらべる,"to investigate, to examine",n1
取り立てる,とりたてる,"to collect, to extort",n1
取り次ぐ,とりつぐ,"to act as an agent for, to announce someone, to convey a message",n1
取り付ける,とりつける,"to furnish, to install to get someone's agreement",n1
取り除く,とりのぞく,"to remove, to take away, to set apart",n1
取引,とりひき,"transactions, dealings, business",n1
取り巻く,とりまく,"to surround, to circle, to enclose",n1
取り混ぜる,とりまぜる,"to mix, to put together",n1
取り戻す,とりもどす,"to take back, to regain",n1
取り寄せる,とりよせる,"to order, to send away for",n1
副,とりわけ,"especially, above all",n1
鈍感,どんかん,"thickheadedness, stolidity",n1
度忘れ,どわすれ,"lapse of memory, forget for a moment",n1
問屋,とんや,wholesale store,n1
内閣,ないかく,"cabinet, government",n1
乃至,ないし,"fromto, betweenand, or",n1
内緒,ないしょ,"secrecy, privacy, secret",n1
内心,ないしん,"innermost thoughts, real intention, inmost heart",n1
内蔵,ないぞう,internal organ builtin,n1
内部,ないぶ,"interior, inside, internal",n1
内乱,ないらん,"civil war, domestic conflict",n1
内陸,ないりく,inland,n1
苗,なえ,rice seedling,n1
流し,ながし,sink,n1
長々,ながなが,"long, drawnout, very long",n1
中程,なかほど,"middle, midway",n1
渚,なぎさ,"water's edge, beach, shore",n1
嘆く,なげく,"to sigh, to lament, to grieve",n1
投げ出す,なげだす,"to abandon, to throw out",n1
仲人,なこうど,"gobetween, matchmaker",n1
和やか,なごやか,"mild, calm, harmonious",n1
名残,なごり,"remains, traces, memory",n1
情け,なさけ,"sympathy, compassion",n1
情無い,なさけない,"miserable, pitiable, shameful",n1
情深い,なさけぶかい,"tenderhearted, compassionate",n1
詰る,なじる,"to rebuke, to scold, to tell off",n1
名高い,なだかい,"famous, celebrated, wellknown",n1
雪崩,なだれ,avalanche,n1
懐く,なつく,to become emotionally attached,n1
名付ける,なづける,to name,n1
何気ない,なにげない,"casual, unconcerned",n1
名札,なふだ,"name plate, name tag",n1
生臭い,なまぐさい,"smelling of fish or blood, fish or meat",n1
生温い,なまぬるい,"lukewarm, halfhearted",n1
生身,なまみ,"living flesh, flesh and blood, the quick",n1
鉛,なまり,lead the metal,n1
滑らか,なめらか,"smoothness, glassiness",n1
嘗める,なめる,to lick to experience to make fun of,n1
悩ましい,なやましい,"seductive, melancholy, languid",n1
悩ます,なやます,"to bother, to harass, to molest",n1
悩み,なやみ,"troubles, worry, distress",n1
並びに,ならびに,and,n1
成り立つ,なりたつ,"to consist of to be practical logical, feasible, viable, to be concluded, to hold true",n1
慣れ,なれ,"practice, experience",n1
馴々しい,なれなれしい,"familiar, make free with",n1
何だか,なんだか,"a little, somewhat, somehow",n1
荷,に,"load, baggage, cargo",n1
似通う,にかよう,to resemble closely,n1
賑わう,にぎわう,"to prosper, to flourish, to be crowded with people",n1
憎しみ,にくしみ,hatred,n1
肉親,にくしん,"blood relationship, blood relative",n1
肉体,にくたい,"the body, the flesh",n1
逃げ出す,にげだす,"to run away, to escape from",n1
西日,にしび,westering sun,n1
滲む,にじむ,"to run, to blur, to spread",n1
にせ物,にせもの,"imitation, counterfeit",n1
日夜,にちや,"day and night, always",n1
荷造り,にづくり,"packing, baling, crating",n1
担う,になう,"to carry on shoulder, to bear burden, to shoulder gun",n1
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken",n1
にも関わらず,にもかかわらず,"in spite of, nevertheless",n1
入手,にゅうしゅ,"obtaining, coming to hand",n1
入賞,にゅうしょう,winning a prize or place in a contest,n1
入浴,にゅうよく,"bathe, bathing",n1
尿,にょう,urine,n1
認識,にんしき,"recognition, cognizance",n1
妊娠,にんしん,"conception, pregnancy",n1
任務,にんむ,"duty, mission, task",n1
任命,にんめい,"appointment, nomination, ordination",n1
抜かす,ぬかす,"to omit, to leave out",n1
抜け出す,ぬけだす,"to slip out, to sneak away, to excel",n1
主,ぬし,"owner, master, god",n1
沼,ぬま,"swamp, bog, pond",n1
音色,ねいろ,"tone color, timbre",n1
値打ち,ねうち,"value, worth, price",n1
寝かせる,ねかせる,"to put to bed, to lay down, to ferment",n1
捩れる,ねじれる,"twist, strain",n1
妬む,ねたむ,"to be jealous, to be envious",n1
熱意,ねつい,"zeal, enthusiasm",n1
熱湯,ねっとう,boiling water,n1
熱量,ねつりょう,calorific value,n1
粘り,ねばり,"stickiness, viscosity",n1
粘る,ねばる,"to be sticky, to be adhesive, to persist, to stick to",n1
値引き,ねびき,"price reduction, discount",n1
根回し,ねまわし,making necessary arrangements,n1
眠たい,ねむたい,sleepy,n1
練る,ねる,"to knead, to work over, to polish up",n1
念,ねん,"sense, feeling, desire",n1
年賀,ねんが,"New Year's greetings, New Year's card",n1
念願,ねんがん,"one's heart's desire, earnest petition",n1
年号,ねんごう,"name of an era, year number",n1
燃焼,ねんしょう,"burning, combustion",n1
年長,ねんちょう,seniority,n1
燃料,ねんりょう,fuel,n1
年輪,ねんりん,annual tree ring,n1
農耕,のうこう,"farming, agriculture",n1
農場,のうじょう,farm,n1
農地,のうち,agricultural land,n1
納入,のうにゅう,"payment, supply",n1
逃す,のがす,"to let loose, to set free, to let escape",n1
逃れる,のがれる,to escape,n1
軒並,のきなみ,row of houses uniformly,n1
望ましい,のぞましい,"desirable, hoped for",n1
乗っ取る,のっとる,"to capture, to occupy, to take over",n1
罵る,ののしる,"to speak ill of, to abuse",n1
延べ,のべ,"futures, credit buying, stretching, total",n1
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand",n1
乗り込む,のりこむ,"to board, to get into a car to march into, to enter",n1
刃,は,"blade, sword",n1
～派,は,"group, party, section mil",n1
把握,はあく,"grasp, catch, understanding",n1
廃棄,はいき,"disposal, abandon, discarding",n1
配給,はいきゅう,"distribution eg, films, rice",n1
ばい菌,ばいきん,"bacteria, germs",n1
配偶者,はいぐうしゃ,spouse,n1
拝啓,はいけい, a formal greeting used at the beginning of a letter ,n1
背景,はいけい,"background, scenery, setting",n1
背後,はいご,"back, rear",n1
廃止,はいし,"abolition, repeal",n1
拝借,はいしゃく,humble polite borrowing,n1
排除,はいじょ,"exclusion, removal, rejection",n1
賠償,ばいしょう,"reparations, indemnity, compensation",n1
排水,はいすい,drainage,n1
敗戦,はいせん,"defeat, losing a war",n1
配置,はいち,"arrangement of resources, disposition",n1
配布,はいふ,distribution,n1
配分,はいぶん,"distribution, allotment",n1
敗北,はいぼく,defeat as a verb it means 'to be defeated',n1
倍率,ばいりつ,"diameter, magnification",n1
配慮,はいりょ,"consideration, concern, forethought",n1
配列,はいれつ,"arrangement, array programming",n1
破壊,はかい,destruction,n1
一概に,いちがいに,"unconditionally, necessarily",n1
著しい,いちじるしい,"remarkable, considerable",n1
一同,いちどう,"all present, all concerned, all of us",n1
一部分,いちぶぶん,"a part, a portion",n1
一別,いちべつ,parting,n1
一面,いちめん,"one side, the other hand",n1
一目,いちもく,"a glance, a look, a glimpse",n1
一様,いちよう,"uniform, similar, equal",n1
一律,いちりつ,"even, uniform, equal",n1
一連,いちれん,"a series, a chain, a ream of paper",n1
一括,いっかつ,"all together, batch",n1
一気,いっき,"at one push, in one gulp",n1
一挙に,いっきょに,"at a stroke, with a single swoop",n1
一見,いっけん,"a look, a glimpse, glance first meeting",n1
一切,いっさい,"without exception, the whole",n1
一心,いっしん,"one mind, with rapt attention",n1
一変,いっぺん,complete change,n1
意図,いと,"intention, aim, design",n1
営む,いとなむ,"to carry on eg, in ceremony, to run a business",n1
挑む,いどむ,to challenge,n1
稲光,いなびかり,flash of lightning,n1
祈り,いのり,"prayer, supplication",n1
今更,いまさら,"now, again",n1
未だ,いまだ,"yet, still",n1
移民,いみん,"emigrant, immigrant",n1
嫌々,いやいや,"reluctantly, by no means, unwillingly",n1
卑しい,いやしい,"greedy, vulgar, shabby",n1
意欲,いよく,"will, desire, ambition",n1
威力,いりょく,"power, might, authority",n1
衣類,いるい,"clothes, clothing, garments",n1
異論,いろん,"different opinion, objection",n1
印鑑,いんかん,"stamp, seal",n1
陰気,いんき,"gloom, melancholy",n1
隠居,いんきょ,retirement retired person,n1
受かる,うかる,to pass examination,n1
受け入れ,うけいれ,"receiving, acceptance",n1
受け入れる,うけいれる,"to accept, to receive",n1
受け継ぐ,うけつぐ,"to inherit, to succeed",n1
受け付ける,うけつける,"to be accepted, to receive an application",n1
受け止める,うけとめる,"to catch, to react to, to take",n1
受身,うけみ,"passive, passive voice",n1
受持ち,うけもち,"charge of something, matter in one's charge",n1
動き,うごき,"movement, activity, trend",n1
埋める,うずめる,"to bury, to fill",n1
嘘つき,うそつき,liar,n1
うたた寝,うたたね,"dozing, napping",n1
打ち明ける,うちあける,"to confess, to be open",n1
打ち切る,うちきる,"to stop, to abort, to discontinue, to close",n1
打ち消し,うちけし,"gram negation, denial, negative",n1
打ち込む,うちこむ,"to devote oneself to, to shoot into",n1
団扇,うちわ,fan,n1
内訳,うちわけ,"the items, breakdown, classification",n1
写し,うつし,"copy, duplicate",n1
訴え,うったえ,"lawsuit, complaint",n1
空ろ,うつろ,"blank, hollow, empty",n1
器,うつわ,"bowl, vessel, container",n1
腕前,うでまえ,"ability, skill, facility",n1
雨天,うてん,rainy weather,n1
促す,うながす,"to urge, to suggest, to demand",n1
生まれつき,うまれつき,"by nature, by birth, native",n1
埋め込む,うめこむ,"to embed, implant",n1
梅干し,うめぼし,dried plum,n1
裏返し,うらがえし,"inside out, reverse",n1
売り出し,うりだし,bargain sale,n1
売り出す,うりだす,"to put on sale, to market",n1
潤う,うるおう,to be moist to profit by,n1
浮気,うわき,"affair, to cheat",n1
上回る,うわまわる,to exceed,n1
植わる,うわる,to be planted,n1
運営,うんえい,"management, administration, operation",n1
運送,うんそう,"shipping, freight",n1
運賃,うんちん,"freight rates, shipping expenses, passenger fare",n1
云々,うんぬん,"and so on, and so forth",n1
運搬,うんぱん,"transport, carriage",n1
運命,うんめい,fate,n1
運輸,うんゆ,transportation,n1
運用,うんよう,"making use of, application, practical use",n1
～営,えい, run,n1
英字,えいじ,English letter character,n1
映写,えいしゃ,projection,n1
映像,えいぞう,"reflection, image",n1
英雄,えいゆう,"hero, great man",n1
液,えき,"liquid, fluid",n1
閲覧,えつらん,"inspection, reference, browse",n1
獲物,えもの,"game, spoils, trophy",n1
襟,えり,"neck, collar",n1
円滑,えんかつ,"harmony, smoothness",n1
縁側,えんがわ,"veranda, porch, balcony, open corridor",n1
沿岸,えんがん,"coast, shore",n1
婉曲,えんきょく,"euphemistic, indirect, insinuating",n1
演出,えんしゅつ,"production erg play, direction",n1
演じる,えんじる,"to perform, to play a part, to act",n1
演ずる,えんずる,"to perform, to play a part, to act",n1
沿線,えんせん,along railway line,n1
縁談,えんだん,marriage proposal,n1
遠方,えんぽう,"long way, distant place",n1
円満,えんまん,"harmony, peace, smoothness",n1
追い込む,おいこむ,"to herd, to corner, to drive",n1
追い出す,おいだす,"to expel, to drive out",n1
於いて,おいて,"at, in, on",n1
老いる,おいる,"to age, to grow old",n1
応急,おうきゅう,emergency,n1
黄金,おうごん,gold,n1
往診,おうしん,"doctor's visit, house call",n1
応募,おうぼ,"subscription, application",n1
大方,おおかた,"almost all, majority",n1
大柄,おおがら,"large build, large pattern",n1
大筋,おおすじ,"outline, summary",n1
大空,おおぞら,"heaven, the sky",n1
大幅,おおはば,"full width, large scale, drastic",n1
大水,おおみず,flood,n1
公,おおやけ,public,n1
犯す,おかす,"to perpetrate, to violate",n1
侵す,おかす,"to invade, to raid, to trespass",n1
臆病,おくびょう,"cowardice, timidity",n1
遅らす,おくらす,"to retard, to delay",n1
厳か,おごそか,"majestic, dignified",n1
行い,おこない,"conduct, behavior, action",n1
収まる,おさまる,to settle into to be obtained,n1
納まる,おさまる,to settle into to be obtained,n1
治まる,おさまる,"to be at peace, to calm down",n1
お産,おさん,giving birth,n1
押し切る,おしきる,to have one's own way,n1
押し込む,おしこむ,"to push into, to crowd into",n1
惜しむ,おしむ,"to be frugal, to value, to regret",n1
押し寄せる,おしよせる,"to push aside, to advance on",n1
雄,おす,male animal,n1
御世辞,おせじ,"flattery, compliment",n1
襲う,おそう,to attack,n1
遅くとも,おそくとも,at the latest,n1
恐れ,おそれ,"fear, horror",n1
恐れ入る,おそれいる,"to be filled with awe, to feel small",n1
落ち込む,おちこむ,to get depressed,n1
落ち着き,おちつき,"calm, composure",n1
落葉,おちば,fallen leaves,n1
乙,おつ,2nd in rank,n1
お使い,おつかい,errand,n1
お手上げ,おてあげ,"given in, given up hope",n1
脅す,おどす,"to threaten, to menace",n1
訪れる,おとずれる,to visit,n1
お供,おとも,"attendant, companion",n1
衰える,おとろえる,"to become weak, to decline",n1
同い年,おないどし,of the same age,n1
自ずから,おのずから,"naturally, as a matter of course",n1
怯える,おびえる,to become frightened,n1
脅かす,おびやかす,"to threaten, to coerce",n1
帯びる,おびる,"to bear, to carry, to be entrusted",n1
お袋,おふくろ,mother,n1
覚え,おぼえ,"memory, sense, experience",n1
お宮,おみや,Shinto shrine,n1
思い付き,おもいつき,"plan, idea, suggestion",n1
趣,おもむき,"flavor, appearance, quaint",n1
赴く,おもむく,"to go, to proceed",n1
重んじる,おもんじる,"to respect, to honor, to esteem, to prize",n1
重んずる,おもんずる,"to honor, to respect, to value",n1
親父,おやじ,"one's father, old man, one's boss",n1
及び,および,"and, as well as",n1
及ぶ,およぶ,"to reach, to extend",n1
折,おり,"chance, occasion",n1
檻,おり,"cage, pen, jail cell",n1
折り返す,おりかえす,"to turn up, to fold back",n1
織物,おりもの,"textile, fabric",n1
俺,おれ,I ego boastful firstperson pronoun,n1
愚か,おろか,"foolish, stupid",n1
温和,おんわ,"gentle, mild, moderate",n1
我,が,ego,n1
～界,かい,"world, circle, kingdom",n1
～街,がい,town,n1
改悪,かいあく,"deterioration, changing for the worse",n1
海運,かいうん,marine transportation,n1
外貨,がいか,foreign money,n1
改革,かいかく,"reform, reformation, innovation",n1
貝殻,かいがら,shell,n1
外観,がいかん,"appearance, exterior, facade",n1
階級,かいきゅう,"class, rank, grade",n1
海峡,かいきょう,channel,n1
会見,かいけん,"interview, conference",n1
介護,かいご,nursing,n1
