expression,reading,meaning,tags
下る,さがる,"to descend, to drop, to fall",n4
字,じ,letter character,n4
褒める,ほめる,to praise to say nice things,n4
最も,もっとも,most,n4
合う,あう,"to fit, to match",n4
～代,だい, age period,n4
最後,さいご,"last, end",n4
値段,ねだん,price,n4
退院,たいいんする,leaving hospital,n4
展覧会,てんらんかい,exhibition,n4
久しぶり,ひさしぶり,it has been a long time for the first time in a long time,n4
汽車,きしゃ,train steam,n4
遅れる,おくれる,to be become late,n4
見つかる,みつかる,"to be found vi, to be discovered",n4
召し上がる,めしあがる, honorific form of 食べる たべる and 飲む のむ ,n4
太る,ふとる,to gain weight,n4
注射,ちゅうしゃ,injection,n4
様,よう,"way, manner, kind",n4
最初,さいしょ,"beginning, first",n4
御～,ご,honorable ,n4
安心,あんしん,"peace of mind, relief",n4
直る,なおる,to be fixed,n4
集める,あつめる,"to collect, to gather vt, to assemble",n4
直す,なおす,to correct vt to fix,n4
続く,つづく,to be continued,n4
先輩,せんぱい,senior members of a group,n4
約束,やくそく,"arrangement, appointment, promise",n4
世話,せわする,looking after to look after,n4
近所,きんじょ,neighborhood,n4
将来,しょうらい,in the future prospects,n4
億,おく,hundred million,n4
数学,すうがく,mathematics,n4
文化,ぶんか,culture,n4
払う,はらう,to pay,n4
習慣,しゅうかん,custom in reference to culture,n4
焼ける,やける,"to burn, to be roasted",n4
君,きみ,you informal for men,n4
冷える,ひえる,"to grow cold, to cool down",n4
点く,つく,"to be started, to be switched on",n4
この間,このあいだ,"the other day, recently",n4
格好,かっこう,"appearance, manner, shape, form, posture",n4
続ける,つづける,"to continue, to keep up",n4
落す,おとす,"to drop, to lose",n4
明日,あす,tomorrow,n4
出発,しゅっぱつする,departure,n4
拝見,はいけんする,"humble polite seeing, look at",n4
割れる,われる,to break,n4
背中,せなか,back of body,n4
新聞社,しんぶんしゃ,newspaper company,n4
回る、回す,まわる、まわす,"to go around, to revolve",n4
～君,くん,"Mr junior , master ",n4
眠い,ねむい,"sleepy, drowsy",n4
濡れる,ぬれる,to get wet,n4
倒れる,たおれる,"to collapse, to break down",n4
考える,かんがえる,to think about to consider,n4
向かう,むかう,"to face, to go towards",n4
自由,じゆう,freedom,n4
仕方,しかた,way of doing something,n4
首,くび,neck,n4
程,ほど,"degree, extent",n4
代わり,かわり,"substitute, replacement",n4
失敗,しっぱい,"failure, mistake",n4
工業,こうぎょう,manufacturing industry,n4
移る,うつる,to move from a house to transfer from a department to shift,n4
研究室,けんきゅうしつ,the professor's office laboratory,n4
工場,こうじょう,factory,n4
紹介,しょうかい,an introduction,n4
舟,ふね,"ship, boat",n4
動く,うごく,to move,n4
虫,むし,insect,n4
優しい,やさしい,"kind person, gentle person, easy problem",n4
植える,うえる,to plant,n4
両方,りょうほう,"both sides, both parties",n4
汚れる,よごれる,to become dirty,n4
水泳,すいえい,swimming,n4
経験,けいけんする,experience,n4
勝つ,かつ,to win,n4
砂,すな,sand,n4
警察,けいさつ,police police station,n4
取り替える,とりかえる,"to exchange, to replace",n4
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",n4
簡単,かんたん,simple,n4
参る,まいる,humble expression for 行く and 来る,n4
全然,ぜんぜん,"not at all wholly, entirely",n4
特別,とくべつ,special,n4
復習,ふくしゅう,"review of lessons, revision",n4
間に合う,まにあう,to be in time for,n4
役に立つ,やくにたつ,"to be helpful, to be useful",n4
真中,まんなか,"middle, center",n4
戻る,もどる,to return vi to come back,n4
研究,けんきゅう,"study, research, investigation",n4
草,くさ,grass,n4
込む,こむ,to be crowded,n4
この頃,このごろ,"these days, nowadays",n4
訪ねる,たずねる,to visit,n4
下げる,さげる,to lower vt to hang,n4
花見,はなみ,cherryblossom viewing,n4
途中,とちゅう,"on the way, midway",n4
入院,にゅういんする,hospitalization,n4
乗り換える,のりかえる,"to transfer trains, to change bus, train, etc",n4
別れる,わかれる,"to part from, to separate",n4
～町,ちょう,the town of ,n4
安全,あんぜん,"safety, security",n4
看護婦,かんごふ,female nurse,n4
見物,けんぶつ,sightseeing,n4
相談,そうだんする,consultation,n4
眠る,ねむる,to sleep,n4
上がる,あがる,"to rise, to go up",n4
翻訳,ほんやく,translation,n4
食事,しょくじする,meal,n4
お陰,おかげ,thanks or owing to,n4
娘,むすめ,daughter humble,n4
湯,ゆ,hot water,n4
競争,きょうそう,"competition, contest",n4
会議,かいぎ,business meeting conference,n4
湖,みずうみ,lake,n4
集まる,あつまる,"to gather vi, to collect",n4
生活,せいかつする,"living, life to live",n4
糸,いと,thread,n4
関係,かんけい,"relationship, connection",n4
～目,め,"number  sequence, nd th",n4
番組,ばんぐみ,broadcast program,n4
急,きゅう,"urgent, sudden steep",n4
棚,たな,"shelves, rack",n4
木綿,もめん,cotton,n4
輸出,ゆしゅつする,export,n4
嬉しい,うれしい,to be happy to be glad,n4
神社,じんじゃ,Shinto shrine,n4
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much",n4
楽しみ,たのしみ,"pleasure, joy",n4
趣味,しゅみ,hobby pastime,n4
電報,でんぽう,telegram,n4
家内,かない,one's own wife,n4
指,ゆび,finger,n4
社会,しゃかい,society,n4
