expression,reading,meaning,tags
重大,じゅうだい,"serious, important",n3
住宅,じゅうたく,"resident, housing",n3
集団,しゅうだん,"group, mass",n3
集中,しゅうちゅう,"concentration, focusing the mind",n3
収入,しゅうにゅう,"income, revenue",n3
住民,じゅうみん,"inhabitants, residents",n3
重要,じゅうよう,"important, essential",n3
修理,しゅうり,"repairing, mending",n3
主義,しゅぎ,"doctrine, cause, principle",n3
宿泊,しゅくはく,lodging,n3
手術,しゅじゅつ,surgical operation,n3
首相,しゅしょう,prime minister,n3
手段,しゅだん,"means, way, measure",n3
主張,しゅちょう,"claim, insistence, assertion",n3
出場,しゅつじょう,participation,n3
出身,しゅっしん,come from,n3
出版,しゅっぱん,publication,n3
首都,しゅと,capital city,n3
主婦,しゅふ,housewife,n3
主要,しゅよう,"chief, main",n3
需要,じゅよう,demand,n3
種類,しゅるい,"variety, kind",n3
順,じゅん,"order, turn",n3
瞬間,しゅんかん,"moment, second",n3
順調,じゅんちょう,doing well,n3
順番,じゅんばん,"turn in line, order of things",n3
使用,しよう,"use same as  , application, employment, utilization",n3
小,しょう,small,n3
章,しょう,"chapter, section medal",n3
賞,しょう,"prize, award",n3
上,じょう,first volume superior quality governmental,n3
障害,しょうがい,"obstacle, impediment",n3
奨学金,しょうがくきん,scholarship,n3
乗客,じょうきゃく,passenger,n3
上京,じょうきょう,proceeding  the capital tokyo,n3
状況,じょうきょう,"state of affairs, situation",n3
条件,じょうけん,"conditions, terms",n3
正午,しょうご,"noon, midday",n3
正直,しょうじき,"honesty, integrity, frankness",n3
常識,じょうしき,common sense,n3
少女,しょうじょ,young girl,n3
少々,しょうしょう,a little short time formal for  ,n3
症状,しょうじょう,"symptoms, condition",n3
生じる,しょうじる," occur,  arise,  be generated",n3
状態,じょうたい,"condition, situation",n3
上達,じょうたつ,"improvement, advance",n3
冗談,じょうだん,a joke,n3
上等,じょうとう,"first class, very good",n3
衝突,しょうとつ,"collision, conflict",n3
商人,しょうにん,"trader, shopkeeper, merchant",n3
承認,しょうにん,"recognition, approval",n3
少年,しょうねん,"boys, juveniles",n3
商売,しょうばい,"trade, business, commerce",n3
消費,しょうひ,"consumption, expenditure",n3
商品,しょうひん,"commodity, merchandise",n3
賞品,しょうひん,"prize, trophy",n3
消防,しょうぼう,"fire fighting, fire department",n3
情報,じょうほう,"information, military intelligence",n3
証明,しょうめい,"proof, verification",n3
省略,しょうりゃく,"omission, abbreviation, abridgment",n3
女王,じょおう,queen,n3
職,しょく,employment,n3
職業,しょくぎょう,"occupation, business",n3
食卓,しょくたく,dining table,n3
食品,しょくひん,foodstuff,n3
植物,しょくぶつ,"plant, vegetation",n3
食物,しょくもつ,"food, foodstuff",n3
食欲,しょくよく,appetite for food,n3
食料,しょくりょう,food,n3
食糧,しょくりょう,"provisions, rations",n3
書斎,しょさい,"study, den",n3
女子,じょし,"woman, girl",n3
助手,じょしゅ,"helper, assistant",n3
徐々に,じょじょに,"slowly, little by little",n3
署名,しょめい,signature,n3
書物,しょもつ,books,n3
女優,じょゆう,actress,n3
処理,しょり,"processing, treatment, disposition",n3
書類,しょるい,"documents, official papers",n3
知らせ,しらせ,notice,n3
尻,しり,"buttocks, bottom",n3
知合い,しりあい,acquaintance,n3
印,しるし,mark symbol evidence,n3
城,しろ,castle,n3
進学,しんがく,going on  university,n3
神経,しんけい,"nerve, sensitivity",n3
真剣,しんけん,"seriousness, earnestness",n3
信仰,しんこう,"religious faith, belief",n3
信号,しんごう,"traffic lights, signal, semaphore",n3
人工,じんこう,"artificial, man made, human work,",n3
深刻,しんこく,serious,n3
診察,しんさつ,medical examination of a patient,n3
人種,じんしゅ,race of people,n3
信じる,しんじる, believe,n3
人生,じんせい,"human life , conception  death",n3
親戚,しんせき,relatives,n3
新鮮,しんせん,fresh,n3
心臓,しんぞう,heart,n3
身体,しんたい,the body,n3
身長,しんちょう,"height of body, stature",n3
慎重,しんちょう,"careful, prudent, cautious",n3
審判,しんぱん,"umpire, referee, judgment",n3
人物,じんぶつ,"character, personality, talented man",n3
進歩,しんぽ,"improvement, progress, development",n3
親友,しんゆう,"close friend, buddy",n3
信用,しんよう,"confidence, dependence",n3
信頼,しんらい,"reliance, trust, confidence",n3
心理,しんり,mentality,n3
人類,じんるい,"mankind, humanity",n3
巣,す,"nest, breeding place",n3
酢,す,vinegar,n3
図,ず,"figure, drawing, illustration",n3
水準,すいじゅん,"level, standard",n3
推薦,すいせん,recommendation,n3
睡眠,すいみん,sleep,n3
数,すう,"number, figure",n3
数字,すうじ,"numeral, figure",n3
末,すえ,"the end of, powder",n3
姿,すがた,"figure, shape, appearance",n3
救う,すくう," rescue from,  help out of",n3
優れる,すぐれる," surpass,  outstrip,  excel",n3
少しも,すこしも,"anything of, not one bit",n3
過ごす,すごす," pass,  spend time",n3
筋,すじ,"muscle, string, line",n3
進める,すすめる," advance,  promote,  hasten",n3
勧める,すすめる," urge someone  do something,  recommend",n3
頭痛,ずつう,headache,n3
既に,すでに,already same as ,n3
全て,すべて,"all, the whole, entirely",n3
済ませる,すませる, be finished,n3
角,すみ,corner,n3
墨,すみ,ink,n3
澄む,すむ," clear , weather,  become transparent",n3
清む,すむ," clear , weather,  become transparent",n3
刷る,する, print,n3
為る,する," do,  attempt",n3
鋭い,するどい,"pointed, sharp",n3
すれ違う,すれちがう, pass by one another,n3
正,せい,"logical true, regular",n3
生,せい,birth,n3
性,せい,"sex, gender",n3
姓,せい,"surname, family name",n3
所為,せい,"cause, reason, fault",n3
税,ぜい,tax,n3
性格,せいかく,"character, personality",n3
正確,せいかく,"accurate, punctuality, exact",n3
世紀,せいき,century,n3
請求,せいきゅう,"claim, demand, request",n3
税金,ぜいきん,"tax, duty",n3
清潔,せいけつ,clean,n3
制限,せいげん,"restriction, restraint, limitation",n3
成功,せいこう,"success, hit",n3
正式,せいしき,"official, formal",n3
性質,せいしつ,"nature, property, disposition",n3
精神,せいしん,"mind, soul, spirit",n3
成人,せいじん,adult,n3
精々,せいぜい,"at the most, at best",n3
成績,せいせき,"grade ie, on a test, academic record",n3
製造,せいぞう,"manufacture, production",n3
贅沢,ぜいたく,"luxury, extravagance",n3
成長,せいちょう,growth,n3
生長,せいちょう,growth,n3
制度,せいど,"system, institution",n3
青年,せいねん,"youth, young man",n3
生年月日,せいねんがっぴ,birth date,n3
製品,せいひん,"manufactured goods, finished goods",n3
政府,せいふ,"government, administration",n3
生物,せいぶつ,"living thing, organism",n3
生命,せいめい,life,n3
整理,せいり,"sorting, arrangement",n3
咳,せき,cough,n3
石炭,せきたん,coal,n3
責任,せきにん,"duty, responsibility",n3
石油,せきゆ,"oil, petroleum, kerosene",n3
世間,せけん,"world, society",n3
説,せつ,theory,n3
積極的,せっきょくてき,"positive, active, proactive",n3
設計,せっけい,"plan, design",n3
絶対,ぜったい,"definitely, without fail, absoluteness",n3
愛,あい,love,n3
相変わらず,あいかわらず,"as ever, as usual",n3
愛情,あいじょう,"love, affection",n3
合図,あいず,"sign, signal",n3
愛する,あいする, love,n3
相手,あいて,partner addressee the person you are talking ,n3
遭う,あう," meet,  encounter undesirable nuance",n3
明かり,あかり,"lamplight, light in general",n3
空き,あき,"vacancy, opening, space",n3
明らか,あきらか,"obvious, clear",n3
諦める,あきらめる," give up,  abandon",n3
飽きる,あきる," get tired of,  lose interest in",n3
握手,あくしゅ,handshake,n3
悪魔,あくま,"devil, demon, evil spirit",n3
明ける,あける," dawn,  become daylight",n3
揚げる,あげる," lift,  fry",n3
挙げる,あげる," raise  list,  cite",n3
預かる,あずかる, keep something for someone,n3
預ける,あずける," give into custody,  deposit",n3
汗,あせ,"sweat, perspiration",n3
与える,あたえる, give,n3
温かい,あたたかい,warm,n3
暖まる,あたたまる, warm up,n3
温まる,あたたまる," warm oneself,  get warm",n3
暖める,あたためる," warm up  someone/something,  heat up  someone/something",n3
温める,あたためる," warm,  heat",n3
辺り,あたり,"vicinity, nearby",n3
当たり前,あたりまえ,"usual, common, obvious",n3
当たる,あたる," be hit,  be successful",n3
扱う,あつかう," treat,  handle,  deal with",n3
集まり,あつまり,"gathering, meeting, collection",n3
当てる,あてる, hit  apply ,n3
跡,あと,trace remains scar,n3
穴,あな,hole,n3
油,あぶら,oil,n3
脂,あぶら,fat,n3
誤り,あやまり,error,n3
粗,あら,"defect, flaw, fault",n3
嵐,あらし,storm,n3
争う,あらそう," dispute,  argue,  fight",n3
新た,あらた,"new, fresh",n3
表す,あらわす," express,  show",n3
現す,あらわす," show,  appear,  reveal",n3
著す,あらわす," write,  publish",n3
現れ,あらわれ,"expression, indication, sign",n3
現れる,あらわれる," appear ,  become visible  express",n3
在る; 有る,ある," live,  be,  exist",n3
或,ある,"a certain, some",n3
泡,あわ,"bubble, foam",n3
合わせる,あわせる, combine,n3
慌てる,あわてる, become confused、 panic,n3
哀れ,あわれ,"helpless, pity, pathetic",n3
案,あん,"plan, scheme, proposal",n3
案外,あんがい,unexpectedly,n3
暗記,あんき,"memorization, learning by heart",n3
安定,あんてい,"stability, equilibrium",n3
胃,い,stomach,n3
委員,いいん,committee member,n3
意外,いがい,"unexpected, surprising",n3
行き,いき,going,n3
息,いき,breath,n3
勢い,いきおい,"force, vigor, momentum",n3
生き物,いきもの,"living thing, creature",n3
医師,いし,"doctor, physician",n3
意思,いし,"intention, purpose",n3
意志,いし,"will, volition",n3
維持,いじ,"maintenance, preservation",n3
意識,いしき,"consciousness, senses",n3
異常,いじょう,"strangeness, abnormality, disorder",n3
意地悪,いじわる,"malicious, mean, unkind",n3
泉,いずみ,"spring, fountain",n3
以前,いぜん,in the past before,n3
板,いた,"board, plank",n3
偉大,いだい,greatness,n3
抱く,いだく," hold  written expression,  embrace,  harbor",n3
痛み,いたみ,"pain, ache, sore",n3
至る,いたる," come,  arrive",n3
市,いち,"market, fair",n3
位置,いち,"place, position",n3
一時,いちじ,"for a time, temporarily",n3
一度に,いちどに,all at once,n3
市場,いちば,"market, bazaar",n3
一家,いっか,"family, clan",n3
一種,いっしゅ,"a species, a kind, a variety",n3
一瞬,いっしゅん,"a moment, an instant",n3
一生,いっしょう,throughout one's life,n3
一層,いっそう,"much more, still more",n3
一体,いったい,one object body what on earth? generally,n3
一致,いっち,agreement conformity,n3
一般,いっぱん,"general, average",n3
一方,いっぽう,on the other hand meanwhile,n3
移動,いどう,"migration, movement",n3
従兄弟,いとこ,cousin male,n3
従姉妹,いとこ,cousin female,n3
稲,いね,riceplant,n3
居眠り,いねむり,"dozing, nodding off",n3
命,いのち,life,n3
違反,いはん,"violation of law, infringement",n3
衣服,いふく,clothes,n3
居間,いま,living room,n3
今に,いまに,"before long, soon",n3
今にも,いまにも,"at any time, soon",n3
否,いや,"no, the noes",n3
以来,いらい,"since, henceforth",n3
依頼,いらい,request dependence,n3
医療,いりょう,"medical care, medical treatment",n3
岩,いわ,rock,n3
祝い,いわい,"celebration, festival",n3
祝う,いわう," congratulate,  celebrate",n3
言わば,いわば,so  speak,n3
印刷,いんさつ,printing,n3
印象,いんしょう,impression,n3
引退,いんたい,retirement,n3
引用,いんよう,"quotation, citation",n3
魚,うお,fish,n3
受け取る,うけとる," receive,  get,  accept",n3
動かす,うごかす," move,  shift",n3
兎,うさぎ,"rabbit, hare",n3
牛,うし,"cattle, cow",n3
失う,うしなう," lose,  part with",n3
疑う,うたがう," doubt,  distrust",n3
宇宙,うちゅう,"universe, cosmos, space",n3
討つ,うつ," attack,  avenge",n3
撃つ,うつ," attack,  shoot",n3
映す,うつす," project,  reflect,  cast shadow",n3
訴える,うったえる," complain,  appeal,  sue a person",n3
写る,うつる," be photographed,  be projected",n3
映る,うつる," be reflected,  come out photo",n3
奪う,うばう," rob,  deprive",n3
馬,うま,horse promoted bishop in japanese chess known as shogi,n3
生まれ,うまれ,"birth, birthplace",n3
有無,うむ,"yes or no, presence or absence",n3
梅,うめ,"plum, lowest of a threetier ranking system",n3
埋める,うめる," bury,  fill up,  fill a seat, a vacant position",n3
裏切る,うらぎる," betray,  turn traitor",n3
羨ましい,うらやましい,"envious, enviable",n3
売れる,うれる, be sold,n3
噂,うわさ,"rumor, gossip",n3
運,うん,"fortune, luck",n3
運転,うんてん,"operation, driving",n3
柄,え,"handle of a sword, dagger, etc, grip",n3
永遠,えいえん,"eternity, perpetuity, immortality",n3
永久,えいきゅう,"eternity, perpetuity, immortality",n3
影響,えいきょう,"influence, effect",n3
営業,えいぎょう,"business, trade, management",n3
衛星,えいせい,satellite,n3
栄養,えいよう,"nutrition, nourishment",n3
笑顔,えがお,smile on one's face,n3
描く,えがく," draw,  depict,  describe",n3
餌,えさ,"feed, bait",n3
得る,える," get,  gain,  win,  learn",n3
円,えん,"circle, yen",n3
延期,えんき,"postponement, adjournment",n3
演技,えんぎ,"acting, performance",n3
援助,えんじょ,"assistance, aid, support",n3
演説,えんぜつ,"speech, address",n3
演奏,えんそう,musical performance,n3
老い,おい,"old age, the aged",n3
追い付く,おいつく," overtake,  catch up with",n3
王,おう,king,n3
追う,おう," chase,  run after",n3
応援,おうえん,"aid, assistance, help",n3
王様,おうさま,king,n3
王子,おうじ,prince,n3
応じる,おうじる," adapt,  respond,  comply with",n3
横断,おうだん,crossing,n3
終える,おえる, finish,n3
大いに,おおいに,"much, considerably same as  , greatly",n3
覆う,おおう," cover,  hide,  conceal",n3
大家,おおや,landlord,n3
丘,おか,"hill, height",n3
沖,おき,open sea,n3
奥,おく,"interior, inner part",n3
贈る,おくる," present,  give ,  award ",n3
起こる,おこる," occur,  happen",n3
押える,おさえる," stop,  restrain,  press down",n3
幼い,おさない,"very young, childish",n3
収める,おさめる," store  pay,  supply",n3
納める,おさめる," store  pay,  supply",n3
治める,おさめる," govern,  manage  subdue",n3
お辞儀,おじぎ,bow,n3
お洒落,おしゃれ,"smartly dressed, fashionconscious",n3
お喋り,おしゃべり,"chattering, talk",n3
汚染,おせん,"pollution, contamination",n3
恐らく,おそらく,perhaps,n3
恐れる,おそれる," fear,  be afraid of",n3
恐ろしい,おそろしい,"terrible, dreadful",n3
教わる,おそわる, be taught,n3
お互い,おたがい,"mutual, reciprocal, each other",n3
穏やか,おだやか,"calm, gentle, quiet",n3
男の人,おとこのひと,man,n3
大人しい,おとなしい,"obedient, docile, quiet",n3
劣る,おとる," fall behind,  be inferior ",n3
鬼,おに,"ogre, demon, 'it' ,in a game of tag",n3
帯,おび,"band, sash",n3
お昼,おひる,"lunch, noon",n3
溺れる,おぼれる," be drowned,  indulge in",n3
お前,おまえ,"you sing, presence of a high personage",n3
お目に掛かる,おめにかかる,"meet , see ",n3
思い付く,おもいつく," think of,  hit upon",n3
思い出,おもいで,"memories, recollections, reminiscence",n3
主に,おもに,"mainly, primarily",n3
思わず,おもわず,"unintentional, spontaneous",n3
泳ぎ,およぎ,swimming,n3
及ぼす,およぼす," exert,  cause,  exercise",n3
下す,おろす," lower,  let go down",n3
降ろす,おろす," take down,  launch,  drop",n3
卸す,おろす," sell wholesale, grated vegetables",n3
音,おん,"sound, note",n3
恩,おん,"favor, obligation, debt of gratitude",n3
温暖,おんだん,warmth,n3
温度,おんど,temperature,n3
可,か,passable,n3
蚊,か,mosquito,n3
課,か,"department, division",n3
貝,かい,"shell, shellfish",n3
害,がい,"harm, damage",n3
会員,かいいん,"member, the membership",n3
絵画,かいが,"picture, painting",n3
海外,かいがい,"foreign, abroad, overseas",n3
会計,かいけい,"account, finance",n3
解決,かいけつ,"settlement, solution, resolution",n3
会合,かいごう,"meeting, assembly",n3
外交,がいこう,diplomacy,n3
開始,かいし,"start, commencement, beginning",n3
解釈,かいしゃく,"explanation, interpretation",n3
外出,がいしゅつ,"outing, going out",n3
改善,かいぜん,"betterment, improvement",n3
快適,かいてき,"pleasant, agreeable",n3
回復,かいふく,"recovery from illness, rehabilitation, restoration",n3
飼う,かう, keep  own a pet  raise  feed,n3
帰す,かえす, send back,n3
代える,かえる," exchange,  interchange,  substitute",n3
替える,かえる," exchange,  interchange,  substitute",n3
換える,かえる," exchange,  interchange,  substitute",n3
反る,かえる," warp,  be warped,  curve",n3
香り,かおり,"aroma, fragrance",n3
画家,がか,painter,n3
抱える,かかえる, hold or carry under or in the arms,n3
価格,かかく,"price, value",n3
化学,かがく,chemistry,n3
輝く,かがやく," shine,  glitter,  sparkle",n3
係,かかり,person in charge,n3
罹る,かかる, suffer from,n3
限る,かぎる," restrict,  limit,  confine",n3
掻く,かく, scratch,n3
嗅ぐ,かぐ," sniff,  smell",n3
家具,かぐ,furniture,n3
学,がく,"learning, knowledge",n3
額,がく,amount frame,n3
覚悟,かくご,"resolution, resignation, readiness",n3
確実,かくじつ,"certainty, reliability, soundness",n3
学者,がくしゃ,scholar,n3
学習,がくしゅう,"study, learning",n3
隠す,かくす," hide,  conceal",n3
拡大,かくだい,"magnification, enlargement",n3
確認,かくにん,"affirmation, confirmation",n3
学問,がくもん,"scholarship, study, learning",n3
隠れる,かくれる," hide,  be hidden",n3
影,かげ,"shade, shadow, other side",n3
陰,かげ,"shade, shadow, other side",n3
欠ける,かける, be lacking,n3
加減,かげん,adjustment addition and subtraction,n3
過去,かこ,past,n3
籠,かご,"basket, cage",n3
囲む,かこむ," surround,  encircle",n3
火災,かさい,"conflagration, fire",n3
重なる,かさなる," be piled up, lie on top of one another",n3
重ねる,かさねる," pile up,  put something on another,  heap up",n3
飾り,かざり,decoration,n3
貸し,かし,"loan, lending",n3
菓子,かし,"confectionery, sweet",n3
家事,かじ,household matters housework same as  ,n3
賢い,かしこい,"wise, clever, smart",n3
歌手,かしゅ,singer,n3
稼ぐ,かせぐ," earn income,  labor",n3
数える,かぞえる, count,n3
型,かた,"mold, model, style",n3
肩,かた,shoulder,n3
堅い,かたい,"hard, firm, solid",n3
硬い,かたい,"hard, firm, solid",n3
方々,かたがた,persons,n3
片付く,かたづく," put in order,  solve",n3
刀,かたな,"sword, saber",n3
語る,かたる," talk,  tell,  recite",n3
勝ち,かち,"win, victory",n3
価値,かち,"value, worth, merit",n3
活気,かっき,vigor liveliness vitality energy,n3
楽器,がっき,musical instrument,n3
学期,がっき,term school,n3
活動,かつどう,"action, activity",n3
活躍,かつやく,activity,n3
活用,かつよう,conjugation practical use,n3
仮定,かてい,"assumption, supposition, hypothesis",n3
過程,かてい,process,n3
課程,かてい,"course, curriculum",n3
悲しむ,かなしむ," be sad,  mourn for,  regret",n3
必ずしも,かならずしも,"not always, not necessarily",n3
金,かね,"gold, metal money",n3
鐘,かね,"bell, chime",n3
可能,かのう,"possible, practicable, feasible",n3
株,かぶ,stock stump of tree,n3
被る,かぶる, wear  be covered with,n3
我慢,がまん,"patience, endurance, perseverance",n3
神,かみ,god,n3
雷,かみなり,thunder,n3
髪の毛,かみのけ,hair head,n3
科目,かもく,"school subject, curriculum, course",n3
歌謡,かよう,"song, ballad",n3
空,から,empty,n3
殻,から,"shell, husk, hull",n3
刈る,かる," cut hair,  mow grass,  harvest",n3
河,かわ,"river, stream",n3
皮,かわ,"skin, hide, leather",n3
革,かわ,leather,n3
可愛そう,かわいそう,"poor, pitiable, pathetic",n3
可愛らしい,かわいらしい,"lovely, sweet",n3
乾かす,かわかす, dry,n3
渇く,かわく, be thirsty,n3
代る,かわる," take the place of,  relieve,  be substituted for",n3
缶,かん,"can, tin",n3
勘,かん,"perception, intuition, the sixth sense",n3
考え,かんがえ,"thinking, thought, ideas",n3
感覚,かんかく,"sense, sensation",n3
間隔,かんかく,"space, interval, spc",n3
観客,かんきゃく,"audience, spectators",n3
環境,かんきょう,"environment, circumstance",n3
歓迎,かんげい,"welcome, reception",n3
観光,かんこう,sightseeing,n3
観察,かんさつ,"observation, survey",n3
感じ,かんじ,"feeling, sense, impression",n3
感謝,かんしゃ,"thanks, gratitude",n3
患者,かんじゃ,patient,n3
勘定,かんじょう,"calculation, counting, consideration",n3
感情,かんじょう,"emotions, feelings, sentiment",n3
感じる,かんじる," feel,  sense",n3
感心,かんしん,admiration,n3
関心,かんしん,"concern, interest",n3
関する,かんする," concern,  be related",n3
完成,かんせい,"complete, completion perfection",n3
完全,かんぜん,"perfection, completeness",n3
乾燥,かんそう,"dry, arid, dehydrated",n3
感想,かんそう,"one's impressions, one's thoughts",n3
感動,かんどう,"being deeply moved, excitement",n3
監督,かんとく,"supervision, control, movie director",n3
管理,かんり,"control, management , of a business",n3
完了,かんりょう,"completion, conclusion",n3
関連,かんれん,"relation, connection, relevance",n3
議員,ぎいん,"member of the diet, congress, or parliament",n3
記憶,きおく,"memory, recollection, remembrance",n3
気温,きおん,temperature weather  not used for things,n3
機械,きかい,"machine, machinery",n3
器械,きかい,instrument,n3
議会,ぎかい,"diet, congress, parliament",n3
期間,きかん,"period, term",n3
機関,きかん,"engine institution, organization",n3
企業,きぎょう,"industry, business, undertaking",n3
効く,きく, be effective,n3
期限,きげん,"deadline, term",n3
機嫌,きげん,"humor, temper, mood",n3
気候,きこう,climate,n3
岸,きし,"bank, coast, shore",n3
生地,きじ,fabric dough,n3
記事,きじ,"article, news story",n3
技師,ぎし,"engineer, technician",n3
記者,きしゃ,reporter,n3
傷,きず,"wound, injury, hurt",n3
期待,きたい,"expectation, anticipation, hope",n3
気体,きたい,"vapor, gas",n3
帰宅,きたく,returning home,n3
貴重,きちょう,"precious, valuable",n3
議長,ぎちょう,chairman,n3
気付く,きづく," notice,  recognize,  become aware of",n3
気に入る,きにいる," like,  be please",n3
記入,きにゅう,"entry, filling in of forms",n3
記念,きねん,"commemoration, memory",n3
機能,きのう,"function, faculty",n3
気の毒,きのどく,"pitiful, a pity",n3
寄付,きふ,"contribution, donation",n3
希望,きぼう,"hope, wish, aspiration",n3
基本,きほん,"basic, basis",n3
決まり,きまり,"settlement, conclusion, rule",n3
気味,きみ,"like, looking, looked",n3
奇妙,きみょう,"strange, queer, curious",n3
義務,ぎむ,"duty, obligation, responsibility",n3
疑問,ぎもん,"question, problem, doubt",n3
逆,ぎゃく,"reverse, opposite",n3
旧,きゅう,ex,n3
級,きゅう,"class, grade, rank",n3
球,きゅう,"globe, sphere, ball",n3
休暇,きゅうか,"vacation, holiday, day off",n3
休憩,きゅうけい,"rest, break, intermission",n3
急激,きゅうげき,"sudden, precipitous, radical",n3
吸収,きゅうしゅう,"absorption, suction",n3
救助,きゅうじょ,"relief, aid, rescue",n3
急速,きゅうそく,"rapid , progress",n3
休息,きゅうそく,"rest, relief, relaxation",n3
急に,きゅうに,suddenly,n3
給料,きゅうりょう,"salary, wages",n3
器用,きよう,"skillful, handy",n3
教科書,きょうかしょ,textbook,n3
競技,きょうぎ,"game, match, contest",n3
行儀,ぎょうぎ,manners,n3
供給,きょうきゅう,"supply, provision",n3
教授,きょうじゅ,"teaching, instruction professor",n3
強調,きょうちょう,"emphasis, stress, stressed point",n3
共通,きょうつう,"commonness, mutual",n3
共同,きょうどう,"cooperation, association, collaboration",n3
恐怖,きょうふ,"fear, terror",n3
協力,きょうりょく,"cooperation, collaboration",n3
強力,きょうりょく,"powerful, strong",n3
許可,きょか,"permission, approval",n3
局,きょく,"office, bureau, stationtv, radio",n3
巨大,きょだい,"huge, gigantic, enormous",n3
嫌う,きらう," hate,  dislike,  loathe",n3
霧,きり,"fog, mist",n3
切れ,きれ,"cloth, piece, cut",n3
切れる,きれる," cut well,  be sharp  break off",n3
記録,きろく,"record, minutes, document",n3
議論,ぎろん,"argument, discussion, dispute",n3
銀,ぎん,silver,n3
禁煙,きんえん,no smoking,n3
金額,きんがく,amount of money,n3
金庫,きんこ,"safe, vault",n3
禁止,きんし,"prohibition, ban",n3
金銭,きんせん,"money, cash",n3
金属,きんぞく,metal,n3
近代,きんだい,modern times,n3
緊張,きんちょう,"tension, mental strain, nervousness",n3
筋肉,きんにく,"muscle, sinews",n3
金融,きんゆう,"finance, money and banking",n3
句,く,phrase,n3
食う,くう,male vulg  eat,n3
偶然,ぐうぜん,"by chance, unexpectedly",n3
臭い,くさい,"stinky, smelly, badsmelling",n3
鎖,くさり,chain,n3
腐る,くさる," rot,  go bad",n3
癖,くせ,"a habit often a bad habit, peculiarity",n3
管,くだ,"pipe, tube",n3
具体,ぐたい,"concrete, tangible, material",n3
下り,くだり,downtrain going away from tokyo,n3
下る,くだる," get down,  descend",n3
苦痛,くつう,"pain, agony",n3
区別,くべつ,"distinction, differentiation, classification",n3
組,くみ,"class, team, set",n3
組合,くみあい,"association, union",n3
組む,くむ, put together,n3
汲む,くむ," draw,  scoop,  pump",n3
酌む,くむ, serve sake,n3
